lat,lng,set
51.323452,-0.152092,OSM
51.184402,-0.354364,OSM
51.400741,-0.099646,OSM
58.919360,-3.181272,OSM
51.308192,-0.100140,OSM
51.985367,-3.818885,OSM
51.333253,-0.109000,OSM
58.403635,-6.461458,OSM
51.397688,-0.093249,OSM
53.168333,-4.321594,OSM
51.494845,-2.682974,OSM
51.497504,-2.597120,OSM
51.405023,-2.552024,OSM
53.116070,-2.938044,OSM
51.404453,-0.096645,OSM
53.364954,-2.903788,OSM
51.405310,-0.093427,OSM
51.802007,-0.052501,OSM
51.400204,-0.117974,OSM
52.074152,-0.239983,OSM
51.395982,-0.107527,OSM
51.860483,-4.308702,OSM
51.485962,-2.677441,OSM
51.083257,-0.301669,OSM
51.397136,-0.104479,OSM
52.120545,-0.054143,OSM
51.324679,-0.100894,OSM
51.484597,-2.606953,OSM
51.483247,-2.675341,OSM
51.177259,-0.301495,OSM
51.335804,-0.113517,OSM
51.069841,-2.918017,OSM
51.337892,-0.114753,OSM
51.677248,-4.044861,OSM
51.513360,-2.622354,OSM
51.111736,-0.221200,OSM
51.321735,-0.095229,OSM
53.612513,-2.920435,OSM
51.330183,-0.105743,OSM
51.070232,-0.367387,OSM
51.317417,-0.089178,OSM
51.907510,0.024173,OSM
51.503222,-2.678418,OSM
51.622979,-4.010117,OSM
51.380153,-0.128188,OSM
51.117712,-0.164515,OSM
51.323059,-0.124147,OSM
51.462363,-2.612943,OSM
51.489677,-2.688403,OSM
53.386064,-2.345608,OSM
51.380165,-0.128145,OSM
51.121531,-0.270868,OSM
51.493333,-2.689368,OSM
53.623766,-2.914922,OSM
51.500213,-2.700077,OSM
50.885334,0.306450,OSM
51.417409,-2.560524,OSM
51.066213,-3.185942,OSM
51.810938,-2.717550,OSM
51.811323,-4.085503,OSM
51.421952,-2.561712,OSM
51.282857,-0.118017,OSM
51.422542,-2.565360,OSM
50.847335,0.121477,OSM
51.425579,-2.563458,OSM
52.119467,-0.294487,OSM
51.414090,-2.560018,OSM
57.448788,-6.691549,OSM
51.330172,-0.095173,OSM
55.958780,-2.986518,OSM
51.418827,-2.556596,OSM
51.489494,-2.540359,OSM
51.423668,-2.615108,OSM
53.333444,-2.713153,OSM
51.425685,-2.558836,OSM
53.475184,-2.563838,OSM
51.498431,-2.614172,OSM
51.766904,-0.323250,OSM
51.461315,-2.505707,OSM
51.043721,-3.091016,OSM
51.461352,-2.495131,OSM
51.714922,-3.459283,OSM
51.481543,-2.516020,OSM
50.843406,-0.135341,OSM
51.467456,-2.501879,OSM
53.307270,-2.380222,OSM
51.462774,-2.509066,OSM
52.051280,-4.304750,OSM
51.459836,-2.494926,OSM
53.273004,-3.220909,OSM
51.470050,-2.520247,OSM
51.788483,-0.173167,OSM
51.475497,-2.542823,OSM
50.899507,0.195574,OSM
51.496481,-2.494733,OSM
50.873073,0.255131,OSM
51.490289,-2.489942,OSM
51.789426,-3.370776,OSM
51.466624,-2.517812,OSM
51.452509,-2.424781,OSM
51.488204,-2.503782,OSM
50.824482,-0.156833,OSM
51.489240,-2.479173,OSM
51.641259,-3.951452,OSM
51.463194,-2.513376,OSM
59.095703,-3.072138,OSM
51.486275,-2.434371,OSM
50.859092,-0.134605,OSM
51.500141,-2.492051,OSM
50.811684,-0.370055,OSM
51.477931,-2.539404,OSM
51.403893,-2.568149,OSM
51.495780,-2.529946,OSM
51.827071,-2.778450,OSM
51.488204,-2.503782,OSM
51.984043,-0.248240,OSM
51.481670,-2.455932,OSM
51.798616,-0.187277,OSM
51.495406,-2.545519,OSM
52.188033,-0.143520,OSM
51.485561,-2.513658,OSM
50.957385,-0.502730,OSM
51.475019,-2.531661,OSM
51.383576,-2.572383,OSM
51.475066,-2.524760,OSM
51.452693,-2.437677,OSM
51.473292,-2.535505,OSM
51.053492,-3.193646,OSM
51.498433,-2.508812,OSM
52.967914,-4.259539,OSM
51.477749,-2.499884,OSM
51.790087,-0.079361,OSM
51.491130,-2.494037,OSM
51.529800,-3.687437,OSM
51.477707,-2.517413,OSM
57.767780,-7.019277,OSM
51.498556,-2.499596,OSM
51.128038,-2.994120,OSM
51.500124,-2.517538,OSM
51.963587,-4.567679,OSM
51.484565,-2.516740,OSM
51.119147,-3.361224,OSM
51.492143,-2.475140,OSM
51.241711,-0.231458,OSM
51.448388,-2.514214,OSM
51.761001,-3.784183,OSM
51.450133,-2.518670,OSM
51.469380,-2.548015,OSM
51.442882,-2.514424,OSM
51.859583,-4.214160,OSM
51.483065,-2.506563,OSM
50.990293,-0.097189,OSM
51.512158,-2.512825,OSM
57.760934,-6.942070,OSM
51.481071,-2.503622,OSM
51.179644,-3.520940,OSM
51.482483,-2.466334,OSM
51.528282,-3.218857,OSM
